stationNumber,stationName,latitude,longitude,date,precip_in,aorc_in
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-12-15,0.32,0.027559055528772164
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-12-16,0.0,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-12-17,0.0,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-12-18,0.0,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-12-19,0.05,0.6968504040846676
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-12-20,0.41,0.07086614278827127
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-12-22,0.0,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-12-23,0.0,0.04330708725949911
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-12-24,0.12,0.09842519831704344
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-12-25,0.0,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-12-26,0.0,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-12-27,0.04,0.20866142043213207
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-12-29,0.26,0.4724409519218085
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-12-30,0.26,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-12-31,0.0,0.0
MA-BA-13,Falmouth 0.6 NNW,41.5538,-70.6115,2025-01-01,0.55,0.5905511899022606
MA-BA-13,Falmouth 0.6 NNW,41.5538,-70.6115,2025-01-02,0.17,0.17716535697067817
MA-BA-13,Falmouth 0.6 NNW,41.5538,-70.6115,2025-01-03,0.0,0.0
MA-BA-13,Falmouth 0.6 NNW,41.5538,-70.6115,2025-01-04,0.0,0.0
MA-BA-13,Falmouth 0.6 NNW,41.5538,-70.6115,2025-01-05,0.0,0.0
MA-BA-13,Falmouth 0.6 NNW,41.5538,-70.6115,2025-01-06,0.0,0.0
MA-BA-13,Falmouth 0.6 NNW,41.5538,-70.6115,2025-01-07,0.0,0.0
MA-BA-13,Falmouth 0.6 NNW,41.5538,-70.6115,2025-01-08,0.0,0.0
MA-BA-13,Falmouth 0.6 NNW,41.5538,-70.6115,2025-01-09,0.0,0.0
MA-BA-13,Falmouth 0.6 NNW,41.5538,-70.6115,2025-01-10,0.0,0.0
MA-BA-13,Falmouth 0.6 NNW,41.5538,-70.6115,2025-01-11,0.01,0.12204724591313386
MA-BA-13,Falmouth 0.6 NNW,41.5538,-70.6115,2025-01-12,0.05,0.011811023798045212
MA-BA-13,Falmouth 0.6 NNW,41.5538,-70.6115,2025-01-13,0.0,0.0
MA-BA-13,Falmouth 0.6 NNW,41.5538,-70.6115,2025-01-14,0.0,0.0
MA-BA-13,Falmouth 0.6 NNW,41.5538,-70.6115,2025-01-15,0.0,0.0
MA-BA-13,Falmouth 0.6 NNW,41.5538,-70.6115,2025-01-16,0.0,0.0
MA-BA-13,Falmouth 0.6 NNW,41.5538,-70.6115,2025-01-17,0.01,0.003937007932681738
MA-BA-13,Falmouth 0.6 NNW,41.5538,-70.6115,2025-01-18,0.0,0.11811023798045212
MA-BA-13,Falmouth 0.6 NNW,41.5538,-70.6115,2025-01-19,0.43,0.36614173773940156
MA-BA-13,Falmouth 0.6 NNW,41.5538,-70.6115,2025-01-20,0.44,0.28346457115308504
MA-BA-13,Falmouth 0.6 NNW,41.5538,-70.6115,2025-01-21,0.0,0.0
MA-BA-13,Falmouth 0.6 NNW,41.5538,-70.6115,2025-01-22,0.02,0.01574803173072695
MA-BA-13,Falmouth 0.6 NNW,41.5538,-70.6115,2025-01-23,0.0,0.0
MA-BA-13,Falmouth 0.6 NNW,41.5538,-70.6115,2025-01-24,0.0,0.0
MA-BA-13,Falmouth 0.6 NNW,41.5538,-70.6115,2025-01-25,0.0,0.0
MA-BA-13,Falmouth 0.6 NNW,41.5538,-70.6115,2025-01-26,0.0,0.0
MA-BA-13,Falmouth 0.6 NNW,41.5538,-70.6115,2025-01-27,0.0,0.0
MA-BA-13,Falmouth 0.6 NNW,41.5538,-70.6115,2025-01-28,0.0,0.0
MA-BA-13,Falmouth 0.6 NNW,41.5538,-70.6115,2025-01-29,0.0,0.007874015865363475
MA-BA-13,Falmouth 0.6 NNW,41.5538,-70.6115,2025-01-30,0.0,0.0
MA-BA-13,Falmouth 0.6 NNW,41.5538,-70.6115,2025-01-31,0.0,0.21259842836481385
MA-BA-13,Falmouth 0.6 NNW,41.5538,-70.6115,2025-02-01,0.67,0.464566936056445
MA-BA-13,Falmouth 0.6 NNW,41.5538,-70.6115,2025-02-02,0.03,0.0
MA-BA-13,Falmouth 0.6 NNW,41.5538,-70.6115,2025-02-03,0.21,0.1692913411053147
MA-BA-13,Falmouth 0.6 NNW,41.5538,-70.6115,2025-02-04,0.0,0.0
MA-BA-13,Falmouth 0.6 NNW,41.5538,-70.6115,2025-02-05,0.0,0.0
MA-BA-13,Falmouth 0.6 NNW,41.5538,-70.6115,2025-02-06,0.0,0.24803149975894945
MA-BA-13,Falmouth 0.6 NNW,41.5538,-70.6115,2025-02-07,0.21,0.0
MA-BA-13,Falmouth 0.6 NNW,41.5538,-70.6115,2025-02-08,0.0,0.0
MA-BA-13,Falmouth 0.6 NNW,41.5538,-70.6115,2025-02-09,0.57,0.3267716584125842
MA-BA-13,Falmouth 0.6 NNW,41.5538,-70.6115,2025-02-10,0.0,0.0
MA-BA-13,Falmouth 0.6 NNW,41.5538,-70.6115,2025-02-11,0.0,0.0
MA-BA-13,Falmouth 0.6 NNW,41.5538,-70.6115,2025-02-12,0.04,0.07480315072095302
MA-BA-13,Falmouth 0.6 NNW,41.5538,-70.6115,2025-02-13,0.2,0.17322834903799642
MA-BA-13,Falmouth 0.6 NNW,41.5538,-70.6115,2025-02-14,0.1,0.0
MA-BA-13,Falmouth 0.6 NNW,41.5538,-70.6115,2025-02-15,0.0,0.0
MA-BA-13,Falmouth 0.6 NNW,41.5538,-70.6115,2025-02-16,0.75,1.3070866336503368
MA-BA-13,Falmouth 0.6 NNW,41.5538,-70.6115,2025-02-17,0.97,0.003937007932681738
MA-BA-13,Falmouth 0.6 NNW,41.5538,-70.6115,2025-02-18,0.0,0.0
MA-BA-13,Falmouth 0.6 NNW,41.5538,-70.6115,2025-02-19,0.0,0.0
MA-BA-13,Falmouth 0.6 NNW,41.5538,-70.6115,2025-02-20,0.0,0.0
MA-BA-13,Falmouth 0.6 NNW,41.5538,-70.6115,2025-02-21,0.0,0.0
MA-BA-13,Falmouth 0.6 NNW,41.5538,-70.6115,2025-02-22,0.0,0.0
